series,date,value
L52G,2000 JUL,65.4
L52G,2000 AUG,65.6
L52G,2000 SEP,65.8
L52G,2000 OCT,66.0
L52G,2000 NOV,66.1
L52G,2000 DEC,66.2
L52G,2001 JAN,66.4
L52G,2001 FEB,66.5
L52G,2001 MAR,66.6
L52G,2001 APR,67.3
L52G,2001 MAY,67.6
L52G,2001 JUN,67.7
L52G,2001 JUL,67.9
L52G,2001 AUG,68.2
L52G,2001 SEP,68.2
L52G,2001 OCT,68.3
L52G,2001 NOV,68.3
L52G,2001 DEC,68.5
L52G,2002 JAN,68.7
L52G,2002 FEB,68.8
L52G,2002 MAR,68.9
L52G,2002 APR,69.7
L52G,2002 MAY,70.0
L52G,2002 JUN,70.2
L52G,2002 JUL,70.4
L52G,2002 AUG,70.6
L52G,2002 SEP,70.5
L52G,2002 OCT,70.8
L52G,2002 NOV,70.7
L52G,2002 DEC,71.1
L52G,2003 JAN,71.0
L52G,2003 FEB,71.1
L52G,2003 MAR,71.3
L52G,2003 APR,72.0
L52G,2003 MAY,72.0
L52G,2003 JUN,72.0
L52G,2003 JUL,72.4
L52G,2003 AUG,72.4
L52G,2003 SEP,72.3
L52G,2003 OCT,72.5
L52G,2003 NOV,72.5
L52G,2003 DEC,72.8
L52G,2004 JAN,72.8
L52G,2004 FEB,73.0
L52G,2004 MAR,73.1
L52G,2004 APR,73.6
L52G,2004 MAY,73.8
L52G,2004 JUN,73.9
L52G,2004 JUL,74.3
L52G,2004 AUG,74.4
L52G,2004 SEP,74.2
L52G,2004 OCT,74.5
L52G,2004 NOV,74.6
L52G,2004 DEC,75.0
L52G,2005 JAN,75.1
L52G,2005 FEB,75.1
L52G,2005 MAR,75.3
L52G,2005 APR,75.8
L52G,2005 MAY,76.1
L52G,2005 JUN,76.2
L52G,2005 JUL,76.8
L52G,2005 AUG,77.0
L52G,2005 SEP,76.9
L52G,2005 OCT,77.1
L52G,2005 NOV,77.0
L52G,2005 DEC,77.4
L52G,2006 JAN,77.6
L52G,2006 FEB,77.7
L52G,2006 MAR,77.8
L52G,2006 APR,78.5
L52G,2006 MAY,78.5
L52G,2006 JUN,78.7
L52G,2006 JUL,79.1
L52G,2006 AUG,79.2
L52G,2006 SEP,79.2
L52G,2006 OCT,79.6
L52G,2006 NOV,79.7
L52G,2006 DEC,80.0
L52G,2007 JAN,80.0
L52G,2007 FEB,80.2
L52G,2007 MAR,80.3
L52G,2007 APR,80.8
L52G,2007 MAY,81.1
L52G,2007 JUN,81.3
L52G,2007 JUL,81.7
L52G,2007 AUG,82.0
L52G,2007 SEP,81.7
L52G,2007 OCT,82.1
L52G,2007 NOV,82.1
L52G,2007 DEC,82.5
L52G,2008 JAN,82.6
L52G,2008 FEB,82.7
L52G,2008 MAR,82.9
L52G,2008 APR,83.6
L52G,2008 MAY,83.9
L52G,2008 JUN,84.1
L52G,2008 JUL,84.7
L52G,2008 AUG,85.1
L52G,2008 SEP,84.9
L52G,2008 OCT,85.2
L52G,2008 NOV,85.3
L52G,2008 DEC,85.8
L52G,2009 JAN,85.6
L52G,2009 FEB,85.7
L52G,2009 MAR,85.7
L52G,2009 APR,86.2
L52G,2009 MAY,86.3
L52G,2009 JUN,86.3
L52G,2009 JUL,86.7
L52G,2009 AUG,86.9
L52G,2009 SEP,86.5
L52G,2009 OCT,86.5
L52G,2009 NOV,86.5
L52G,2009 DEC,86.9
L52G,2010 JAN,86.9
L52G,2010 FEB,87.0
L52G,2010 MAR,87.2
L52G,2010 APR,87.6
L52G,2010 MAY,87.8
L52G,2010 JUN,88.1
L52G,2010 JUL,88.4
L52G,2010 AUG,88.9
L52G,2010 SEP,88.4
L52G,2010 OCT,88.7
L52G,2010 NOV,88.6
L52G,2010 DEC,89.3
L52G,2011 JAN,89.5
L52G,2011 FEB,89.7
L52G,2011 MAR,89.9
L52G,2011 APR,90.8
L52G,2011 MAY,90.7
L52G,2011 JUN,91.0
L52G,2011 JUL,91.4
L52G,2011 AUG,91.7
L52G,2011 SEP,91.5
L52G,2011 OCT,91.6
L52G,2011 NOV,91.5
L52G,2011 DEC,92.2
L52G,2012 JAN,92.1
L52G,2012 FEB,92.2
L52G,2012 MAR,92.3
L52G,2012 APR,93.0
L52G,2012 MAY,93.2
L52G,2012 JUN,93.4
L52G,2012 JUL,93.9
L52G,2012 AUG,94.1
L52G,2012 SEP,93.9
L52G,2012 OCT,94.4
L52G,2012 NOV,94.5
L52G,2012 DEC,94.8
L52G,2013 JAN,94.7
L52G,2013 FEB,94.9
L52G,2013 MAR,95.1
L52G,2013 APR,95.4
L52G,2013 MAY,95.8
L52G,2013 JUN,95.8
L52G,2013 JUL,96.2
L52G,2013 AUG,96.4
L52G,2013 SEP,96.3
L52G,2013 OCT,96.5
L52G,2013 NOV,96.5
L52G,2013 DEC,96.7
L52G,2014 JAN,96.6
L52G,2014 FEB,96.8
L52G,2014 MAR,96.9
L52G,2014 APR,97.6
L52G,2014 MAY,97.6
L52G,2014 JUN,97.8
L52G,2014 JUL,98.3
L52G,2014 AUG,98.6
L52G,2014 SEP,98.3
L52G,2014 OCT,98.6
L52G,2014 NOV,98.5
L52G,2014 DEC,98.8
L52G,2015 JAN,98.7
L52G,2015 FEB,98.9
L52G,2015 MAR,99.0
L52G,2015 APR,99.5
L52G,2015 MAY,99.7
L52G,2015 JUN,99.9
L52G,2015 JUL,100.4
L52G,2015 AUG,100.7
L52G,2015 SEP,100.5
L52G,2015 OCT,100.6
L52G,2015 NOV,100.7
L52G,2015 DEC,101.3
L52G,2016 JAN,100.9
L52G,2016 FEB,101.1
L52G,2016 MAR,101.6
L52G,2016 APR,101.9
L52G,2016 MAY,102.3
L52G,2016 JUN,102.6
L52G,2016 JUL,103.1
L52G,2016 AUG,103.4
L52G,2016 SEP,103.1
L52G,2016 OCT,103.1
L52G,2016 NOV,103.1
L52G,2016 DEC,103.8
L52G,2017 JAN,103.4
L52G,2017 FEB,103.8
L52G,2017 MAR,103.8
L52G,2017 APR,104.8
L52G,2017 MAY,104.9
L52G,2017 JUN,105.1
L52G,2017 JUL,105.6
L52G,2017 AUG,106.0
L52G,2017 SEP,105.7
L52G,2017 OCT,105.6
L52G,2017 NOV,105.6
L52G,2017 DEC,106.1
L52G,2018 JAN,105.8
L52G,2018 FEB,106.0
L52G,2018 MAR,106.1
L52G,2018 APR,106.8
L52G,2018 MAY,107.1
L52G,2018 JUN,107.3
L52G,2018 JUL,107.7
L52G,2018 AUG,108.3
L52G,2018 SEP,107.9
L52G,2018 OCT,107.8
L52G,2018 NOV,107.9
L52G,2018 DEC,108.4
L52G,2019 JAN,108.1
L52G,2019 FEB,108.3
L52G,2019 MAR,108.4
L52G,2019 APR,109.4
L52G,2019 MAY,109.5
L52G,2019 JUN,109.7
L52G,2019 JUL,110.1
L52G,2019 AUG,110.4
L52G,2019 SEP,110.2
L52G,2019 OCT,110.3
L52G,2019 NOV,110.3
L52G,2019 DEC,110.5
L52G,2020 JAN,110.4
L52G,2020 FEB,110.7
L52G,2020 MAR,110.8
L52G,2020 APR,111.5
L52G,2020 MAY,111.5
L52G,2020 JUN,111.6
L52G,2020 JUL,112.2
L52G,2020 AUG,111.5
L52G,2020 SEP,111.9
L52G,2020 OCT,111.9
L52G,2020 NOV,111.9
L52G,2020 DEC,112.2
L52G,2021 JAN,112.3
L52G,2021 FEB,112.5
L52G,2021 MAR,112.6
L52G,2021 APR,113.3
L52G,2021 MAY,113.6
L52G,2021 JUN,113.9
L52G,2021 JUL,114.2
L52G,2021 AUG,114.6
L52G,2021 SEP,114.6
L52G,2021 OCT,115.1
L52G,2021 NOV,115.3
L52G,2021 DEC,115.7
L52G,2022 JAN,115.8
L52G,2022 FEB,116.1
L52G,2022 MAR,116.7
L52G,2022 APR,118.0
L52G,2022 MAY,118.5
L52G,2022 JUN,119.1
L52G,2022 JUL,119.8
L52G,2022 AUG,120.4
L52G,2022 SEP,120.7
L52G,2022 OCT,121.3
L52G,2022 NOV,121.6
